,YEAR,base_monetaria,cambio,divida_externa,dslp,exportacao,importacao,inflacao,pib,pib_industria
29,1980,21624052072.370907,2.36981818181818e-11,130753727356.6121,,48886409110.77656,55740782380.65175,110.239409893472,466042991515.7029,185831414552.5125
30,1981,17009632639.605797,4.624e-11,136861224398.83221,32212874137.6953,51911111853.981415,49231307526.019035,95.1961092882981,420901596985.8413,167008992238.20175
31,1982,16325801415.052778,9.14218181818182e-11,148210628549.7118,32937556296.248837,42596691510.25062,40949682241.41207,99.7207177756377,408822908852.9759,167508928674.43207
32,1983,7229878400.271797,3.56e-10,164686702580.0964,34699413513.09162,44350346308.07242,31246557171.20985,210.99173235644,226280370091.9934,89412272324.5096
33,1984,7838592194.016353,1.152e-09,177762816384.6769,58866102578.780396,52700536658.665565,27156530648.088516,223.811782846714,214297571833.90607,89305536089.97491
34,1985,8212502901.686004,3.79636363636364e-09,180756538628.34946,63766062588.563225,48347213893.760254,24803399898.172768,235.106026637404,236202228567.09756,102533741559.8234
35,1986,22203230696.351498,5.40727272727273e-09,187802672375.60904,70992749704.08928,41245760741.17821,25919651557.655396,65.0327956210456,434722712869.2775,181584936222.19818
36,1987,12539946204.078812,2.61418181818182e-08,192487691343.65768,37804302689.98655,46950004475.87503,26946248321.546864,415.834796557845,276533388079.0107,117739088698.8928
37,1988,8229715241.971954,2.76905454545455e-07,176703194458.80286,44937978826.06602,58219382657.91378,25164985009.82115,1037.55880473364,182786132700.7431,76659382417.26534
38,1989,9852386598.790636,4.10909090909091e-06,163912368751.2382,125214620616.7866,56763223453.08062,30151609222.082806,1782.89485261769,170993330190.53165,71661661602.74979
39,1990,15208758141.747854,6.13054545454545e-05,152687763913.27036,30909926576.40636,49680941373.693275,32676000757.53981,1476.70901328345,297925370554.3529,99125381891.19179
40,1991,9081752012.300146,0.000388618181818182,142315402861.7339,73953734546.53159,48389990730.73686,32199052401.867016,480.226254041065,237400148407.22406,75415488211.74673
41,1992,8328481296.459968,0.00450436363636364,165210845618.37613,73405548084.71692,53353087549.00353,30637964212.14244,1157.83654223969,212108599937.12018,72397472901.62836
42,1993,6337649566.964031,0.11858,166191570435.44025,63706903213.27659,56073139193.9847,36731727111.027084,2708.16938929662,172900215964.1756,64490260273.33849
43,1994,29850924563.237057,0.844,170484236319.86096,111129298009.28694,62036331560.12708,47125340321.6845,1093.89353906977,589445699241.0162,208787087909.2128
44,1995,31139015570.756554,0.9715,180425834716.97058,129841171867.62209,64888564412.38437,69724013896.83414,14.7794083391568,1013942286678.0728,237074514103.9803
45,1996,26036803598.359226,1.0386,196836238456.91495,168898895087.2056,65224204961.477516,72872750122.9441,9.33702419898204,1124249991280.2441,251158736001.55786
46,1997,38306931770.39986,1.1156,225247724160.15466,201885365962.08356,71154354305.96954,80221309648.4868,7.48093756728463,1145885240668.8774,258903002738.85687
47,1998,43213113685.99507,1.2079,293526042360.4636,255045496460.94037,68122901292.12736,76880729985.34702,1.70345041964564,1105407582239.6655,244502785954.3219
48,1999,35559041177.10991,1.7882,266973898429.7043,232180541884.37347,63036926894.59587,64610988130.87548,19.9794880154315,798633398929.4485,173676499208.6865
