,YEAR,base_monetaria_m0,base_monetaria_m1,base_monetaria_m3,cambio,divida_externa,exportacao,importacao,inflacao,pib,pib_industria,pib_nominal_brl,salario
72,1972,0.00728109090909091,0.0232185454545455,0.00280472690909091,2.24727272727273e-12,42236713690.000885,17705700470.23334,18775388164.3155,15.7215720418002,248784647067.5801,83693320959.02052,0.12602938079178153,915.894304514212
73,1973,0.0102607272727273,0.0341410909090909,0.00513527272727273,2.24727272727273e-12,52917157770.66846,26095302239.434246,26065995958.91564,15.5439291135874,348632245503.92035,126322201262.3295,0.18612154588182273,938.362518027207
74,1974,0.0134210909090909,0.04558,0.0105181781818182,2.69090909090909e-12,65446643028.70869,30313759579.091846,48195966296.84701,34.5460479606786,383903598472.5026,144930953174.7977,0.2709586013966581,957.413829631051
75,1975,0.0181654545454545,0.0654261818181818,0.0200850872727273,3.28e-12,74506422664.08588,30511856413.865913,42971458736.582794,29.3518715408658,409482660614.4096,157339204014.3582,0.3816427534845572,952.750365796698
76,1976,0.0289032727272727,0.09043854545454541,0.0391050909090909,4.46545454545455e-12,86691799559.61833,33790294922.265965,41312410755.988525,46.2562736769602,443914334822.51373,168201442280.8995,0.5941683926537894,933.055466965421
77,1977,0.0472156363636364,0.12480832727272699,0.0644654545454546,5.8e-12,100357109294.23927,37966904739.529495,37663790997.08675,38.7798044391755,489614240099.15265,180285670579.8441,0.9065374124277443,929.21600313739
78,1978,0.0704250909090909,0.17622141818181802,0.10423996363636401,7.55636363636364e-12,127430077610.19183,37074078195.92912,40073644750.329475,40.8090456012868,509806469323.52246,194303077022.30374,1.3153620530151782,949.738010390834
79,1979,0.133180727272727,0.30480949090909104,0.19041887272727298,1.53927272727273e-11,134229920920.97478,41003757598.57981,48641295927.69918,77.2460452367717,378793069898.53503,148049804634.3099,2.1677221865500833,917.808217384588
80,1980,0.211037454545455,0.540727272727273,0.358100690909091,2.36981818181818e-11,130753727356.6121,48886409110.77656,55740782380.65175,110.239409893472,466042991515.7029,185831414552.5125,4.548293090909091,1013.81209759823
81,1981,0.352921818181818,1.01454545454545,0.9035960000000001,4.624e-11,136861224398.83221,51911111853.981415,49231307526.019035,95.1961092882981,420901596985.8413,167008992238.20175,8.733013818181819,1005.35111297453
